date,open,high,low,close,volume,source,price
2021-04-16,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,161689870.0,yahoo_10_years,9.999999974752427e-07
2021-04-17,9.999999974752427e-07,3.000000106112566e-06,9.999999974752427e-07,1.9999999949504854e-06,460833712.0,yahoo_10_years,1.9999999949504854e-06
2021-04-18,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,142743623.0,yahoo_10_years,1.9999999949504854e-06
2021-04-19,1.9999999949504854e-06,3.999999989900971e-06,1.9999999949504854e-06,3.999999989900971e-06,424418998.0,yahoo_10_years,3.999999989900971e-06
2021-04-20,3.999999989900971e-06,3.999999989900971e-06,1.9999999949504854e-06,1.9999999949504854e-06,526088540.0,yahoo_10_years,1.9999999949504854e-06
2021-04-21,1.9999999949504854e-06,3.000000106112566e-06,9.999999974752427e-07,9.999999974752427e-07,290865031.0,yahoo_10_years,9.999999974752427e-07
2021-04-22,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,194322190.0,yahoo_10_years,1.9999999949504854e-06
2021-04-23,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,151001682.0,yahoo_10_years,9.999999974752427e-07
2021-04-24,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,83694373.0,yahoo_10_years,9.999999974752427e-07
2021-04-25,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,90558038.0,yahoo_10_years,9.999999974752427e-07
2021-04-26,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,102581471.0,yahoo_10_years,9.999999974752427e-07
2021-04-27,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,102515602.0,yahoo_10_years,9.999999974752427e-07
2021-04-28,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,139690065.0,yahoo_10_years,9.999999974752427e-07
2021-04-29,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,96378675.0,yahoo_10_years,9.999999974752427e-07
2021-04-30,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,133732362.0,yahoo_10_years,1.9999999949504854e-06
2021-05-01,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,92395224.0,yahoo_10_years,1.9999999949504854e-06
2021-05-02,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,59652130.0,yahoo_10_years,1.9999999949504854e-06
2021-05-03,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,40570107.0,yahoo_10_years,1.9999999949504854e-06
2021-05-04,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,64001867.0,yahoo_10_years,1.9999999949504854e-06
2021-05-05,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,47093779.0,yahoo_10_years,1.9999999949504854e-06
2021-05-06,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,27406652.0,yahoo_10_years,1.9999999949504854e-06
2021-05-07,1.9999999949504854e-06,3.000000106112566e-06,9.999999974752427e-07,3.000000106112566e-06,367358434.0,yahoo_10_years,3.000000106112566e-06
2021-05-08,3.000000106112566e-06,1.8999999156221747e-05,3.000000106112566e-06,1.5999999959603883e-05,6118033567.0,yahoo_10_years,1.5999999959603883e-05
2021-05-09,1.5999999959603883e-05,1.9999999494757503e-05,1.2000000424450263e-05,1.5999999959603883e-05,6171534719.0,yahoo_10_years,1.5999999959603883e-05
2021-05-10,1.5999999959603883e-05,3.899999865097925e-05,1.4000000192027072e-05,3.5000000934815034e-05,19546576207.0,yahoo_10_years,3.5000000934815034e-05
2021-05-11,3.5000000934815034e-05,3.7999998312443495e-05,2.8000000384054147e-05,3.099999958067201e-05,9743912953.0,yahoo_10_years,3.099999958067201e-05
2021-05-12,2.9999999242136255e-05,3.099999958067201e-05,1.8000000636675395e-05,1.8000000636675395e-05,7320441816.0,yahoo_10_years,1.8000000636675395e-05
2021-05-13,1.8000000636675395e-05,2.4000000848900527e-05,1.4999999621068127e-05,2.099999983329326e-05,6879491005.0,yahoo_10_years,2.099999983329326e-05
2021-05-14,2.099999983329326e-05,2.2000000171829015e-05,1.8000000636675395e-05,1.8999999156221747e-05,2909604830.0,yahoo_10_years,1.8999999156221747e-05
2021-05-15,1.8000000636675395e-05,1.8999999156221747e-05,1.4999999621068127e-05,1.5999999959603883e-05,2607873205.0,yahoo_10_years,1.5999999959603883e-05
2021-05-16,1.5999999959603883e-05,1.9999999494757503e-05,1.2999999853491316e-05,1.8000000636675395e-05,3225440403.0,yahoo_10_years,1.8000000636675395e-05
2021-05-17,1.8000000636675395e-05,1.8000000636675395e-05,1.4000000192027072e-05,1.5999999959603883e-05,3466116394.0,yahoo_10_years,1.5999999959603883e-05
2021-05-18,1.700000029813964e-05,1.8000000636675395e-05,1.4999999621068127e-05,1.5999999959603883e-05,1743302789.0,yahoo_10_years,1.5999999959603883e-05
2021-05-19,1.5999999959603883e-05,1.5999999959603883e-05,6.000000212225132e-06,9.000000318337698e-06,3271067996.0,yahoo_10_years,9.000000318337698e-06
2021-05-20,9.000000318337698e-06,1.2000000424450263e-05,7.999999979801942e-06,9.999999747378752e-06,2507945867.0,yahoo_10_years,9.999999747378752e-06
2021-05-21,9.999999747378752e-06,9.999999747378752e-06,7.000000096013537e-06,7.999999979801942e-06,1547207565.0,yahoo_10_years,7.999999979801942e-06
2021-05-22,7.999999979801942e-06,9.999999747378752e-06,7.000000096013537e-06,7.999999979801942e-06,1229821215.0,yahoo_10_years,7.999999979801942e-06
