date,open,high,low,close,volume,source,price
2021-07-10,3.999999989900971e-06,6.000000212225132e-06,3.999999989900971e-06,3.999999989900971e-06,3629950.0,yahoo_10_years,3.999999989900971e-06
2021-07-11,3.999999989900971e-06,4.999999873689376e-06,3.000000106112566e-06,3.999999989900971e-06,2269416.0,yahoo_10_years,3.999999989900971e-06
2021-07-12,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,1697527.0,yahoo_10_years,3.000000106112566e-06
2021-07-13,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,1417407.0,yahoo_10_years,1.9999999949504854e-06
2021-07-14,1.9999999949504854e-06,3.000000106112566e-06,9.999999974752427e-07,1.9999999949504854e-06,1308053.0,yahoo_10_years,1.9999999949504854e-06
2021-07-15,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,892408.0,yahoo_10_years,1.9999999949504854e-06
2021-07-16,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,528189.0,yahoo_10_years,1.9999999949504854e-06
2021-07-17,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,478075.0,yahoo_10_years,1.9999999949504854e-06
2021-07-18,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,320260.0,yahoo_10_years,1.9999999949504854e-06
2021-07-19,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,483689.0,yahoo_10_years,1.9999999949504854e-06
2021-07-20,1.9999999949504854e-06,3.999999989900971e-06,9.999999974752427e-07,3.000000106112566e-06,1166793.0,yahoo_10_years,3.000000106112566e-06
2021-07-21,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,1978120.0,yahoo_10_years,3.000000106112566e-06
2021-07-22,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,748888.0,yahoo_10_years,3.999999989900971e-06
2021-07-23,3.999999989900971e-06,4.999999873689376e-06,3.000000106112566e-06,3.000000106112566e-06,1179948.0,yahoo_10_years,3.000000106112566e-06
2021-07-24,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,726909.0,yahoo_10_years,3.000000106112566e-06
2021-07-25,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,707549.0,yahoo_10_years,3.000000106112566e-06
2021-07-26,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,1192430.0,yahoo_10_years,3.000000106112566e-06
2021-07-27,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,804178.0,yahoo_10_years,3.000000106112566e-06
2021-07-28,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,553809.0,yahoo_10_years,3.000000106112566e-06
2021-07-29,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,1190744.0,yahoo_10_years,3.999999989900971e-06
2021-07-30,3.999999989900971e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,1859454.0,yahoo_10_years,4.999999873689376e-06
2021-07-31,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,1312664.0,yahoo_10_years,4.999999873689376e-06
2021-08-01,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,1224074.0,yahoo_10_years,4.999999873689376e-06
2021-08-02,4.999999873689376e-06,7.999999979801942e-06,4.999999873689376e-06,7.000000096013537e-06,2651776.0,yahoo_10_years,7.000000096013537e-06
2021-08-03,7.000000096013537e-06,7.000000096013537e-06,3.999999989900971e-06,3.999999989900971e-06,2458900.0,yahoo_10_years,3.999999989900971e-06
2021-08-04,3.999999989900971e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,1717839.0,yahoo_10_years,4.999999873689376e-06
2021-08-05,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,4.999999873689376e-06,1093163.0,yahoo_10_years,4.999999873689376e-06
